Склад,Количество Начальный остаток,Стоимость Начальный остаток,Количество приход,Стоимость приход,Количество расход,Стоимость расход,Себест,Цена продажи,Сумма продажи,Количество Конечный остаток,Стоимость Конечный остаток,Profit,profitPR,date
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",229.0,13174.37,5712.0,327554.8,3740.0,214190.35,55.79,71.59,272832.74,2193.0,125198.37,58642.39,27.38,2021-05-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",143.0,16689.53,2268.0,269937.82,2252.0,262830.92,114.38,134.57,308028.09,157.0,23563.01,45197.17,17.2,2021-05-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",1016.0,106060.24,9435.0,984889.97,5937.0,618863.52,102.35,123.15,744181.95,4507.0,470485.73,125318.43,20.25,2021-05-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",312.0,47157.7,717.0,131604.33,828.0,134225.69,154.11,190.31,163627.6,198.0,43605.74,29401.91,21.9,2021-05-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",835.0,51711.55,2057.0,129157.27,2140.0,132904.97,60.18,76.21,160999.88,739.0,46416.59,28094.91,21.14,2021-05-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",2035.0,118416.65,2586.0,162345.66,4312.0,256060.31,58.34,71.48,309346.03,307.0,24472.32,53285.72,20.81,2021-05-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",411.0,22785.84,3051.0,187892.32,811.0,49574.36,57.9,73.39,62019.95,2638.0,159599.0,12445.59,25.1,2021-05-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",10.0,664.8,1050.0,69804.0,951.0,63222.48,63.95,89.99,82057.46,108.0,7179.84,18834.98,29.79,2021-05-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",223.0,13221.67,8269.0,494365.19,3999.0,235983.44,58.0,73.87,292368.18,4487.0,270142.73,56384.74,23.89,2021-05-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",429.0,27953.64,4708.0,322216.92,4014.0,271887.36,66.05,80.31,321368.66,1118.0,77007.84,49481.3,18.2,2021-05-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",3451.0,191323.44,12359.0,685182.96,10033.0,555730.56,54.16,68.9,696646.1,5767.0,319722.48,140915.54,25.36,2021-05-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",938.0,55614.02,3948.0,226047.36,4626.0,266615.14,56.69,73.31,338503.78,256.0,14615.04,71888.64,26.96,2021-06-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",174.0,9933.66,4929.0,281293.98,3830.0,218132.07,55.92,73.91,281505.92,1262.0,71992.05,63373.85,29.05,2021-06-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",3.0,350.13,2996.0,357403.66,2436.0,291551.5,119.08,140.18,342132.61,560.0,65850.4,50581.11,17.35,2021-06-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",1622.0,169320.58,4893.0,512111.25,5564.0,580575.17,102.91,123.92,697802.69,915.0,96785.03,117227.52,20.19,2021-06-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",205.0,45147.36,1003.0,170091.9,1048.0,186138.54,173.66,200.57,212925.76,158.0,26799.96,26787.22,14.39,2021-06-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",922.0,57910.82,1924.0,119146.06,2008.0,124802.48,59.75,77.58,156856.9,832.0,51525.76,32054.42,25.68,2021-06-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",3.0,181.5,4745.0,301270.27,4727.0,300085.35,63.19,76.83,359701.18,19.0,1185.03,59615.83,19.87,2021-06-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1889.0,114284.5,4667.0,282328.2,4168.0,251886.8,59.12,75.29,316196.16,2383.0,144171.5,64309.36,25.53,2021-06-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",118.0,7844.64,1202.0,82353.6,1023.0,69725.64,63.85,90.14,91521.97,295.0,20213.4,21796.33,31.26,2021-06-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",1497.0,89846.13,7702.0,464300.65,6081.0,366054.15,59.17,74.15,445581.13,3115.0,187801.35,79526.98,21.73,2021-06-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",1311.0,90301.68,3005.0,201634.44,2021.0,137601.35,65.65,82.69,166592.5,2289.0,153601.09,28991.15,21.07,2021-06-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",4078.0,226084.32,12253.0,715659.14,11363.0,648452.38,56.14,69.28,789368.3,4965.0,292954.86,140915.92,21.73,2021-06-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",564.0,32198.76,4131.0,236077.71,4471.0,254611.38,56.15,72.01,323165.84,212.0,12303.62,68554.46,26.93,2021-07-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",80.0,4563.69,5464.0,313936.74,4028.0,230436.59,56.17,72.21,292499.13,1514.0,87949.75,62062.54,26.93,2021-07-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",663.0,77962.17,1807.0,212435.71,1160.0,136285.52,113.33,136.55,156993.25,1307.0,153661.36,20707.73,15.19,2021-07-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",1.0,104.81,4095.0,433148.56,2657.0,280732.67,102.97,122.6,333298.09,1435.0,151788.58,52565.42,18.72,2021-07-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",230.0,39012.6,1016.0,172288.05,800.0,135502.48,162.75,203.1,166205.28,445.0,75461.35,30702.8,22.66,2021-07-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",979.0,60629.47,2630.0,162962.56,2674.0,165409.09,59.89,77.92,205948.65,930.0,57625.57,40539.56,24.51,2021-07-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",71.0,4428.27,5720.0,356504.72,4460.0,277977.09,61.46,75.99,339181.16,1330.0,82893.57,61204.07,22.02,2021-07-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",351.0,21235.5,6482.0,392065.51,4466.0,270149.59,59.56,75.74,339473.39,2367.0,143151.42,69323.8,25.66,2021-07-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",142.0,9729.84,1150.0,84957.6,695.0,51058.68,68.49,94.74,68410.41,597.0,43628.76,17351.73,33.98,2021-07-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",1645.0,99172.15,6600.0,399426.39,4846.0,292164.4,59.45,76.63,367588.62,3398.0,206373.85,75424.22,25.82,2021-07-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",1272.0,85356.32,5053.0,341338.9,4135.0,277257.75,65.66,80.94,336448.42,2187.0,149002.85,59190.67,21.35,2021-07-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",2089.0,123259.36,12805.0,755528.4,11901.0,701925.85,57.99,69.1,826120.94,2988.0,176303.95,124195.09,17.69,2021-07-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",212.0,12303.62,807.0,51182.23,660.0,41815.46,58.83,82.08,57355.77,352.0,20862.33,15540.31,37.16,2021-08-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",1514.0,87949.75,6226.0,366333.92,5836.0,341333.64,57.7,73.92,431883.38,1897.0,112431.39,90549.74,26.53,2021-08-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",1307.0,153661.36,996.0,118977.89,1809.0,207651.9,113.98,138.4,248787.22,304.0,36647.95,41135.32,19.81,2021-08-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",1435.0,151788.58,2708.0,302304.97,2816.0,304213.13,105.33,124.34,359353.69,1302.0,146330.61,55140.56,18.13,2021-08-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",445.0,75461.35,506.0,90209.33,542.0,92515.47,160.9,217.29,118778.85,401.0,71533.19,26263.38,28.39,2021-08-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",930.0,57625.57,2827.0,175173.21,2588.0,159552.13,59.63,77.28,199153.28,1165.0,72186.88,39601.15,24.82,2021-08-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",1330.0,82893.57,3968.0,249496.54,5041.0,314530.66,61.62,75.79,379232.42,256.0,17797.12,64701.76,20.57,2021-08-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2367.0,143151.42,3823.0,234145.3,4331.0,263387.08,59.9,77.43,336591.54,1858.0,113798.76,73204.46,27.79,2021-08-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",597.0,43628.76,708.0,53359.72,1023.0,74394.63,68.19,95.13,97677.6,271.0,21290.84,23282.97,31.3,2021-08-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",3398.0,206373.85,2911.0,179865.73,5836.0,355195.73,60.4,77.93,448786.13,471.0,29499.06,93590.4,26.35,2021-08-01
